DATA,COD_NEGOCIACAO,NOME_EMPRESA,TIPO_MERCADO,PRECO_ABERTURA,PRECO_FECHAMENTO
2020-01-02,ABCB4,ABC BRASIL,010,20.0,20.3
2020-01-02,AGRO3,BRASILAGRO,010,19.1,19.25
2020-01-02,BAZA3,AMAZONIA,010,40.0,39.0
2020-01-02,BBAS3,BRASIL,010,53.35,53.8
2020-01-02,BBDC3,BRADESCO,010,34.34,35.44
2020-01-02,BBDC4,BRADESCO,010,36.53,37.51
2020-01-02,BEES3,BANESTES,010,6.3,6.53
2020-01-02,BEES4,BANESTES,010,6.97,6.67
2020-01-02,BGIP4,BANESE,010,37.6,37.5
2020-01-02,BKBR3,BK BRASIL,010,17.95,17.35
2020-01-02,BMEB3,MERC BRASIL,010,13.25,13.25
2020-01-02,BMEB4,MERC BRASIL,010,13.0,13.14
2020-01-02,BMGB4,BANCO BMG,010,9.94,9.59
2020-01-02,BNBR3,NORD BRASIL,010,92.0,93.9
2020-01-02,BPAC3,BTGP BANCO,010,40.5,40.0
2020-01-02,BPAC5,BTGP BANCO,010,23.0,21.8
2020-01-02,BPAC11,BTGP BANCO,010,76.15,76.3
2020-01-02,BPAN4,BANCO PAN,010,10.78,10.88
2020-01-02,BRIV3,ALFA INVEST,010,8.78,8.97
2020-01-02,BRIV4,ALFA INVEST,010,9.0,10.04
2020-01-02,BRSR3,BANRISUL,010,23.0,23.2
2020-01-02,BRSR6,BANRISUL,010,21.82,22.24
2020-01-02,CVCB3,CVC BRASIL,010,44.24,44.71
2020-01-02,EGIE3,ENGIE BRASIL,010,51.0,52.0
2020-01-02,IRBR3,IRBBRASIL RE,010,39.0,39.89
2020-01-02,ITSA3,ITAUSA,010,14.12,14.21
2020-01-02,ITSA4,ITAUSA,010,14.14,14.35
2020-01-02,ITUB3,ITAUUNIBANCO,010,32.18,32.6
2020-01-02,ITUB4,ITAUUNIBANCO,010,37.28,38.03
2020-01-02,LPSB3,LOPES BRASIL,010,9.58,9.42
2020-01-02,PINE4,PINE,010,4.3,4.8
2020-01-02,RPAD3,ALFA HOLDING,010,6.99,8.31
2020-01-02,RPAD5,ALFA HOLDING,010,8.3,9.5
2020-01-02,RPAD6,ALFA HOLDING,010,8.87,8.85
2020-01-02,SANB3,SANTANDER BR,010,26.7,26.44
2020-01-02,SANB4,SANTANDER BR,010,23.56,24.7
2020-01-02,SANB11,SANTANDER BR,010,50.0,50.93
2020-01-02,VIVT3,TELEF BRASIL,010,48.58,48.24
2020-01-02,VIVT4,TELEF BRASIL,010,57.42,57.21
2020-01-02,ABCB4F,ABC BRASIL,020,20.15,19.93
2020-01-02,AGRO3F,BRASILAGRO,020,19.15,18.8
2020-01-02,BAZA3F,AMAZONIA,020,40.0,39.5
2020-01-02,BBAS3F,BRASIL,020,52.85,53.93
2020-01-02,BBDC3F,BRADESCO,020,34.11,35.25
2020-01-02,BBDC4F,BRADESCO,020,36.21,37.35
2020-01-02,BEES3F,BANESTES,020,6.31,6.55
2020-01-02,BEES4F,BANESTES,020,6.5,6.94
2020-01-02,BGIP4F,BANESE,020,38.72,38.72
2020-01-02,BKBR3F,BK BRASIL,020,17.91,17.31
2020-01-02,BMEB3F,MERC BRASIL,020,14.28,14.29
2020-01-02,BMEB4F,MERC BRASIL,020,13.24,13.4
2020-01-02,BMGB4F,BANCO BMG,020,9.7,9.68
2020-01-02,BMIN4F,MERC INVEST,020,17.52,17.52
2020-01-02,BNBR3F,NORD BRASIL,020,91.6,95.0
2020-01-02,BPAC3F,BTGP BANCO,020,45.0,39.75
2020-01-02,BPAC5F,BTGP BANCO,020,27.0,23.0
2020-01-02,BPAC11F,BTGP BANCO,020,76.13,76.33
2020-01-02,BPAN4F,BANCO PAN,020,10.8,10.85
2020-01-02,BPAN10F,BANCO PAN,020,10.7,11.0
2020-01-02,BRIV3F,ALFA INVEST,020,8.76,8.76
2020-01-02,BRIV4F,ALFA INVEST,020,8.9,11.8
2020-01-02,BRSR3F,BANRISUL,020,23.02,23.5
2020-01-02,BRSR6F,BANRISUL,020,21.86,22.25
2020-01-02,CVCB3F,CVC BRASIL,020,44.8,44.7
2020-01-02,EGIE3F,ENGIE BRASIL,020,51.29,53.0
2020-01-02,IRBR3F,IRBBRASIL RE,020,38.94,39.94
2020-01-02,ITSA3F,ITAUSA,020,14.09,14.21
2020-01-02,ITSA4F,ITAUSA,020,14.15,14.38
2020-01-02,ITUB3F,ITAUUNIBANCO,020,32.3,32.6
2020-01-02,ITUB4F,ITAUUNIBANCO,020,37.1,37.87
2020-01-02,LPSB3F,LOPES BRASIL,020,9.55,9.51
2020-01-02,OSXB3F,OSX BRASIL,020,3.3,3.3
2020-01-02,PINE4F,PINE,020,4.25,4.78
2020-01-02,PINE10F,PINE,020,3.8,4.45
2020-01-02,RPAD3F,ALFA HOLDING,020,6.39,8.35
2020-01-02,RPAD5F,ALFA HOLDING,020,9.52,9.51
2020-01-02,RPAD6F,ALFA HOLDING,020,8.5,9.88
2020-01-02,SANB3F,SANTANDER BR,020,26.5,26.52
2020-01-02,SANB4F,SANTANDER BR,020,23.6,24.85
2020-01-02,SANB11F,SANTANDER BR,020,49.7,51.22
2020-01-02,VIVT3F,TELEF BRASIL,020,48.31,48.64
2020-01-02,VIVT4F,TELEF BRASIL,020,57.19,57.5
2020-01-03,ABCB4,ABC BRASIL,010,20.25,20.75
2020-01-03,AGRO3,BRASILAGRO,010,19.25,19.45
2020-01-03,BAZA3,AMAZONIA,010,39.0,39.96
2020-01-03,BBAS3,BRASIL,010,53.1,53.71
2020-01-03,BBDC3,BRADESCO,010,34.94,34.87
2020-01-03,BBDC4,BRADESCO,010,36.9,37.51
2020-01-03,BEES3,BANESTES,010,6.53,6.52
2020-01-03,BEES4,BANESTES,010,6.7,6.75
2020-01-03,BGIP4,BANESE,010,37.84,38.0
2020-01-03,BKBR3,BK BRASIL,010,17.04,17.05
2020-01-03,BMEB3,MERC BRASIL,010,13.03,13.19
2020-01-03,BMEB4,MERC BRASIL,010,13.14,13.55
2020-01-03,BMGB4,BANCO BMG,010,9.4,9.51
